Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,
Periode 01-31 Mei 2026,,,,,,,,,,
Tanggal,No,Keterangan,Kategori, Penerimaan , Pengeluaran ,Saldo,,Kategori,SUM of  Penerimaan ,SUM of  Pengeluaran 
29-mei,22,Bi untuk amplop polsek lawang tgl 29/05/2026 ,amplop,,200000,"4,432,261",,,,
29-mei,22,Bi pembelian ATK tgl 29/05/2026- 10pcs materai @ 10.000,ATK,,100000,"4,332,261",,,,
30-mei,23,Bi BBM N 2114 EFD km 417123 tgl 26/05/2026 ltr 2.0 maintance gadang,transportasi,,20000,"4,312,261",,,,
30-mei,23,Bi BBM L 1793 ACP  tgl 29/05/2026 ltr 10.0 ,transportasi,,100000,"4,212,261",,,,
30-mei,23,"Bi BBM N 2110 EFD km 7326331 tgl 30/05/2026 ltr 1.5 maintance randuagung, gondang,garuda",transportasi,,15000,"4,197,261",,,,
30-mei,23,Bi BBM N 2109 EFD km 509378 tgl 30/05/2026 ltr 1.0 pelurusan randuagung,transportasi,,10000,"4,187,261",,,,
30-mei,23,"Bi BBM P 2616 UC km 8316 tgl 30/05/2026 ltr 3.0 singosari,comboran",transportasi,,30000,"4,157,261",,,,
30-mei,23,Bi transportasi karyawan resign tgl 30/05/2026,transportasi,,55000,"4,102,261",,,,
30-mei,23,Bi untuk perawatan  kendaraan service P 2616 UC tgl 30/05/2026,perawatan kendaraan ,,20000,"4,082,261",,,,
30-mei,23,Bi untuk pembelian rumah tangga tgl 30/05/2026- 5pcs oxy @ 12.000,Rumah Tangga,,60000,"4,022,261",,,,
30-mei,23,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 30/05/2026,Listrik Kantor,,205000,"3,817,261",,,,
30-mei,23,Bi untuk konsumsi kantor tgl 30/05/2026,konsumsi kantor,,110000,"3,707,261",,,,
30-mei,23,Bi untuk amplop kepala desa klampok tgl 30/05/2026,amplop,,1000000,"2,707,261",,,,
31-mei,24,dana Masuk Operasional,dana masuk,3000000,,"5,707,261",,,,
31-mei,24,Bi BBM N 2114 EFD tgl 31/05/2026 ltr 1.5,transportasi,,15000,"5,692,261",,,,
31-mei,24,Bi operasional transportasi pak bara tgl 30/05/2026,transportasi,,20000,"5,672,261",,,,
31-mei,24,Bi pembelian material tgl  29/05/2026- 1pcs htb trondol @ 90.000,Material,,90000,"5,582,261",,,,
31-mei,24,Bi pembelian material tgl  30/05/2026- router @ 400.000,Material,,400000,"5,182,261",,,,
,,,,"35,347,630","30,165,369","5,182,261",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
02-Mei,,bu april kasbone sangu novel,,,"100,000",,,,,
04-mei,,grab bu april 64 + bensin bu april 10k,,,"74,000",,,,,
,,rawat inap anak e mbak dida kucing,,,"650,000",,,,,
05-mei,,cod budihidayat,,,"31,000",,,,,
06-mei,,OBAT PAK BUDI,,,"45,000",,,,,
07-mei,,nasi pak budi,,,"10,000",,,,,
,,nasi pak budi,,,"44,000",,,,,
,,adiva krupuk,,,"2,000",,,,,
08-mei,,rokok pak budi,,,"47,000",,,,,
09-mei,,bensin cortes bu dida,,,"  100,000.00 ",,,,,
,,mbk dida ayam,,,"100,000",,,,,
,,bu april beli nasi,,,"15,000",,,,,
11-mei ,,bensin bu april cortes,,,"100,000",,,,,
12-MEI,,budida makan kucing,,,"50,000",,,,,
,,rokok pak budi,,,"24,500",,,,,
13-mei,,kasbonemas ridwan,,,"50,000",,,,,
,,rokok pak budi,,,"47,000",,,,,
,,ADIVA,,,"3,000",,,,,
15-mei,,ROKOk pak budi,,,"47,000",,,,,
16-MEI,,COD gofood pak budi,,,"108,000",,,,,
20-MEI,,ROKOk pak budi,,,"23,500",,,,,
,,cod casing hp oppo pt skynet pak budi,,,"20,000",,,,,
,,BENSIN SURABAYA EVALIA bu april,,,"200,000",,,,,
21-mei,,token listrik kantor kemaren ibu april,,,"200,000",,,,,
,,pak budi minta uang beli mention,,,"100,000",,,,,
,,PAK BUDI NASI PADANG,,,"50,000",,,,,
,,MAKAN KUCING BU APRIL,,,"100,000",,,,,
,,cod pak budi stb android,,,"424,000",,,,,
22-mei,,rokok pak budi tgl 21,,,"50,000",,,,,
,,pak budi minta uang rokok,,,"100,000",,,,,
23-mei,,COD TAS SLEMPANG BU APRIL,,,"57,000",,,,,
25-MEI,,ROKOK PAK BUDI,,,"23,000",,,,,
26-mei,,indomie bu april,,,20000,,,,,
,,IBU APRIL MINTA UANG KELUAR LIHAT SAPI,,,100000,,,,,
28-MEI,,PAK BUDI,,,100000,,,,,
,,pak budi cod blindbox,,,"105,000",,,,,
,,nia cod,,,"35,000",,,,,
,,cod pak budi,,,"130,500",,,,,
29-mei,,bensin mobil bu april,,,"100,000",,,,,
,,,,,,,,,,
,,,,,"5,182,261",,,,,
,,,,,"  3,585,500.00 ",,,,,
,,,,,"  1,596,761.00 ",,,,,
,,,,,,,,,,
,,Kategori,SUM of  Penerimaan ,SUM of  Pengeluaran ,,,,,,
,,amplop,0,1200000,,,,,,
,,ATK,0,1315000,,,,,,
,,Cicilan Motor,0,3955000,,,,,,
,,dana masuk,"32,070,630",0,,,,,,
,,dana masuk ,3277000,0,,,,,,
,,diskon,0,-70500,,,,,,
,,etol,0,55000,,,,,,
,,fee,0,"1,350,000",,,,,,
,,gaji,0,250000,,,,,,
,,konsumsi,0,"826,100",,,,,,
,,konsumsi kantor,0,2169000,,,,,,
,,lain-lain,0,"1,928,780",,,,,,
,,Listrik Kantor,0,1759500,,,,,,
,,Listrik Server,0,"820,000",,,,,,
,,Listrik server lawang,0,200000,,,,,,
,,Material,0,4489488,,,,,,
,,ongkir,0,"286,900",,,,,,
,,perawatan kendaraan ,0,"659,500",,,,,,
,,perjalanan bisnis,0,534200,,,,,,
,,pulsa,0,"85,000",,,,,,
,,qurban,0,1100000,,,,,,
,,Rumah Tangga,0,2336401,,,,,,
,,saldo awal,0,0,,,,,,
,,sangu,0,920000,,,,,,
,,transportasi,0,3996000,,,,,,
,,Grand Total,"35,347,630","30,165,369",,,,,,
