,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Juni 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,"Bi pembelian material tgl  20/06/2026- siku, paku  @ 35.000",Material,,35000,"4,013,665"
,,Bi pembelian ATK tgl 20/06/2026- 12pcs binder clip v-tec no.107 @ .250,ATK,,"3,000","4,010,665"
,,Bi pembelian ATK tgl 20/06/2026- 36pcs binder clip joyko 111@ 334,ATK,,"12,024","3,998,641"
,,Bi untuk pembelian kartu perdana CS tgl 20/06/2026,ATK,,"30,000","3,968,641"
22-JUNI,17,Bi pembelian material tgl  20/06/2026- 1pcs diagonal pliters @ 43.000,Material,,"43,000","3,925,641"
,,Bi pembelian material tgl  22/06/2026- 1pcs netlink gigabyte @ 140.000,Material,,"140,000","3,785,641"
,,Bi BBM N 2668 GM km 501466 tgl 20/06/2026 ltr 2.0 psb mangliawan,transportasi,,"20,000","3,765,641"
,,Bi BBM N 6840 GE km 8968667 tgl 22/06/2026 ltr 1.5 maintance kunci,transportasi,,"15,000","3,750,641"
,,Bi untuk fee psb 3 pelanggan baru tgl 22/06/2026,fee,,"75,000","3,675,641"
,,Bi untuk fee 1 sales dan psb 1 pelanggan baru tgl 22/06/2026,fee,,"75,000","3,600,641"
,,Bi untuk fee psb 5 pelanggan baru tgl 22/06/2026,fee,,"125,000","3,475,641"
,,"Bi untuk sangu pembangunan ODP,ODC klampok tgl 22/06/2026",sangu,,"50,000","3,425,641"
,,Bi untuk perawatan  kendaraan service N 2113 EFD tgl 22/06/2026,perawatan kendaraan ,,"210,000","3,215,641"
23-juni,18,dana masuk operasional,dana masuk,1000000,,"4,215,641"
,,Bi BBM N 2668 GM km 501942 tgl 21/06/2026 ltr 2.2 psb mangliawan,transportasi,,"22,000","4,193,641"
,,Bi BBM N 2760 ABO km 55803 tgl 21/06/2026 ltr 1.5 maintance kertosari,transportasi,,"15,000","4,178,641"
,,Bi BBM N 2113 km 553601 tgl 22/06/2026 ltr 2.0 psb mangliawan,transportasi,,"20,000","4,158,641"
,,"Bi BBM N 2110 km 748437 tgl 22/06/2026 ltr 2.0 psb klampok ,tumapel",transportasi,,"20,000","4,138,641"
,,Bi BBM N 2668 GM km 501952 tgl 22/06/2026 ltr 2.0 psb klampok,transportasi,,"20,000","4,118,641"
,,Bi BBM N 4235 FM tgl 22/06/2026 ltr 1.5 singosari,transportasi,,"15,000","4,103,641"
,,Bi untuk fee psb 3 pelanggan baru tgl 23/06/2026,fee,,75000,"4,028,641"
,,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs sunlight jn @ 12.000,Rumah Tangga,,"12,000","4,016,641"
,,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs soklin lav770ml  @ 13.400,Rumah Tangga,,"13,400","4,003,241"
,,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs kp branding @ 200,Rumah Tangga,,200,"4,003,041"
,,diskon pembelian,diskon,5400,,"4,008,441"
,,Bi untuk pembelian rumah tangga tgl 23/05/2026- 1pcs kresek @ 14.000,Rumah Tangga,,"14,000","3,994,441"
,,Bi untuk pembelian rumah tangga tgl 23/05/2026- 107pcs egg tray nps@ 686,Rumah Tangga,,"74,000","3,920,441"
,,"Bi untuk konsumsi kantor 18,20,22,23 tgl 23/06/2026",konsumsi kantor,,"400,000","3,520,441"
24-juni,19,dana masuk operasional,dana masuk,2000000,,"5,520,441"
,,Bi BBM N 4235 FM tgl 24/06/2026 ltr 1.5 singosari,transportasi,,"15,000","5,505,441"
,,Bi BBM N 2114 km 495369 tgl 23/06/2026 ltr 2.0 psb blimbing,transportasi,,"20,000","5,485,441"
,,Bi BBM N 3457 ABF km 732692 tgl 22/06/2026 ltr 2.0 psb mangliawan      ,transportasi,,"20,000","5,465,441"
,,"Bi BBM N 2110 km 6362487 tgl 23/06/2026 ltr 1.5 maintance lawang,bedali,gondang",transportasi,,"15,000","5,450,441"
,,Bi BBM N 3457 ABF km 733356 tgl 23/06/2026 ltr 2.5 psb mangliawan    ,transportasi,,"25,000","5,425,441"
,,Bi BBM L 1793 ACP  tgl 24/06/2026 ltr 10.0 ,transportasi,,"100,000","5,325,441"
,,Bi BBM N 4064 EDL tgl 24/06/2026 ltr 1.0 lawang,transportasi,,"10,000","5,315,441"
,,Bi parkir N 4064 EDL Bank Mandiri Lawang tgl 24/06/2026,transportasi,,"2,000","5,313,441"
,,Bi untuk perawatan  kendaraan service N 2109 EFD tgl 23/06/2026,perawatan kendaraan ,,"21,000","5,292,441"
,,Bi untuk pembelian rumah tangga tgl 24/05/2026- 1pcs idm ktg plastik @ 500,Rumah Tangga,,500,"5,291,941"
,,Bi untuk pembelian rumah tangga tgl 24/05/2026- 1pcs gmp gula@ 17.500,Rumah Tangga,,"17,500","5,274,441"
,,Bi untuk pembelian rumah tangga tgl 24/05/2026- 1pcs top coff gl.aren@ 13.500,Rumah Tangga,,"13,500","5,260,941"
,,Bi untuk pembelian rumah tangga tgl 24/05/2026- 1pcs top coff mkachno@ 13.500,Rumah Tangga,,"13,500","5,247,441"
,,Bi untuk pembelian rumah tangga tgl 24/05/2026- 1pcs neo/c crml.mc @ 10.800,Rumah Tangga,,"10,800","5,236,641"
,,Bi untuk pembelian rumah tangga tgl 24/05/2026- 1pcs neo/c crml.mchno @ 10.900,Rumah Tangga,,"10,900","5,225,741"
,,diskon pembelian,diskon,5400,,"5,231,141"
,,Bi untuk fee psb 4 pelanggan baru tgl 24/06/2026,fee,,"100,000","5,131,141"
,,Bi untuk pembayaran tagihan FIF no. 851000267823 angsr ke-31 tgl 24/06/2026,Cicilan Motor,,"788,000","4,343,141"
,,Bi untuk sumbangan pembangunan musolah rw3 tgl 24/06/2026,lain-lain,,"500,000","3,843,141"
25-juni,20,"Bi BBM N 2113 km 554366 tgl 24/06/2026 ltr 2.0 maintance bumiayu,mangliawan",transportasi,,"20,000","3,823,141"
,,"Bi BBM N 2110 km 471079 tgl 24/06/2026 ltr 2.0 maintance gadang,bumiayu",transportasi,,"20,000","3,803,141"
,,Bi BBM N 2109 km 567067 tgl 24/06/2026 ltr 1.0 maintance kalirejo,transportasi,,"10,000","3,793,141"
,,Bi BBM EB 3024 km 93087 tgl 24/06/2026 ltr 1.0 maintance kalirejo,transportasi,,"10,000","3,783,141"
,,Bi BBM N 2114  km 431967 tgl 24/06/2026 ltr 1.0 maintance kalirejo,transportasi,,"10,000","3,773,141"
,,"Bi BBM N 3364 ABF km 733785 tgl 24/06/2026 ltr 1.5 maintance purwodadi,arjosari",transportasi,,"15,000","3,758,141"
,,Bi BBM W 6853 ZN tgl 25/06/2026 ltr 1.5 maintance arjosari,transportasi,,"15,000","3,743,141"
,,Bi BBM N 4064 EDL tgl 24/06/2026 ltr 2.0 mangliawan,transportasi,,"20,000","3,723,141"
,,Bi parkir N 4064 EDL Bank Mandiri Sawojajar tgl 25/06/2026,transportasi,,"2,000","3,721,141"
,,Bi pembelian ATK tgl 25/06/2026- 1pcs kertas stiker f4  @ 35.000,ATK,,"35,000","3,686,141"
,,Bi untuk fee psb 1 pelanggan baru tgl 25/06/2026,fee,,"25,000","3,661,141"
,,Bi untuk fee psb 3 pelanggan baru tgl 25/06/2026,fee,,"75,000","3,586,141"
,,Bi untuk fee 1 sales dan 1 psb pelanggan baru tgl 25/06/2026,fee,,"75,000","3,511,141"
,,Bi pembelian material tgl  25/06/2026- 1pcs spliter 1:16 @ 100.000,Material,,"100,000","3,411,141"
,,Bi pembelian material tgl  25/06/2026- 5pcs solasi @ 7.000,Material,,"35,000","3,376,141"
,,"Bi pembelian material tgl  25/06/2026- 4pcs kleam 5,6mm @ 10.000",Material,,"40,000","3,336,141"
,,Bi untuk konsumsi kantor tgl 25/06/2026,konsumsi kantor,,"140,000","3,196,141"
,,Bi untuk pembayaran tagihan FIF no. 851000267723 angsr ke-31 tgl 25/06/2026,Cicilan Motor,,"792,000","2,404,141"
26-juni,21,Bi BBM L 1793 ACP  tgl 18/06/2026 ltr 5.0 ,transportasi,,"50,000","2,354,141"
,,Bi BBM L 1793 ACP  tgl 21/06/2026 ltr 10.0,transportasi,,"100,000","2,254,141"
,,Bi BBM L 1793 ACP  tgl 22/06/2026 ltr 10.0,transportasi,,"100,000","2,154,141"
,,Bi BBM N 2668 GM km 5013962 tgl 24/06/2026 ltr 1.4 mangliawan,transportasi,,"14,200","2,139,941"
,,Bi BBM N 2113 km 6677873 tgl 25/06/2026 ltr 2.0 maintance blimbing,transportasi,,"20,000","2,119,941"
,,Bi BBM N 2109 km 524218 tgl 25/06/2026 ltr 1.0 migrasi kunci,transportasi,,"10,000","2,109,941"
,,Bi BBM N 3346 ABF km 734195 tgl 25/06/2026 ltr 2.0 maintance lawang,transportasi,,"20,000","2,089,941"
,,"Bi BBM N 2114  km 432490  tgl 25/06/2026 ltr 1.5 maintance randuagung,arjosari",transportasi,,"15,000","2,074,941"
,,Bi BBM N 4298 ALX km 407022 tgl 25/06/2026 ltr 2.0 mangliawan,transportasi,,"20,000","2,054,941"
,,Bi BBM DK 6912 AWW km 455023 tgl 25/06/2026 ltr 2.0 mangliawan,transportasi,,"20,000","2,034,941"
,,Bi BBM N 2110 km 471685 tgl 25/06/2026 ltr 1.0 cek aset bedali,transportasi,,"10,000","2,024,941"
,,Bi BBM L 1793 ACP  tgl 26/06/2026 ltr 10.0 ,transportasi,,"100,000","1,924,941"
,,Bi pembelian material tgl  24/06/2026- 1pcs adaptor 12v @ 18.000,Material,,"18,000","1,906,941"
,,Bi pembelian material tgl  24/06/2026- 1pcs adaptor 5v @ 15.000,Material,,"15,000","1,891,941"
,,Bi untuk konsumsi kantor tgl 26/06/2026,konsumsi kantor,,"145,000","1,746,941"
,,Bi untuk pembayaran tagihan FIF no. 851000265423 angsr ke-31 tgl 26/06/2026,Cicilan Motor,,"796,000","950,941"
,,Bi pengembalian dana operasional oleh bu dida tgl 26/06/2026,lain-lain,,"189,000","761,941"
27-juni,22,dana masuk operasional,dana masuk,3000000,,"3,761,941"
,,dana masuk operasional,dana masuk,3000000,,"6,761,941"
,,Bi BBM L 1793 ACP  tgl 26/06/2026 ltr 10.0 ,transportasi,,"100,000",
,,Bi BBM N 2110 km472093 tgl 26/06/2026 ltr 1.0 migrasi kunci,transportasi,,"10,000","6,651,941"
,,Bi BBM N 4235 FM tgl 25/06/2026 ltr 1.5 singosari,transportasi,,"15,000","6,636,941"
,,Bi BBM N 4298 ACX km 407542  tgl 26/06/2026 ltr 1.5 maintance blimbing,transportasi,,"15,000","6,621,941"
,,"Bi BBM N 3346 ABF km 735214 tgl 26/06/2026 ltr 1.5 maintance lawang, comboran",transportasi,,"15,000","6,606,941"
,,Bi parkir N 2113 Bank Mandiri Singosari tgl 27/06/2026,transportasi,,"2,000",
,,Bi pembayaran etol  ke surabaya tgl 27/06/2026,transportasi,,"103,000",
,,Bi untuk pembelian rumah tangga tgl 27/05/2026- 3pcs kresek @ 14.000,Rumah Tangga,,"42,000","6,459,941"
,,Bi pembelian material tgl  26/06/2026- 1pcs kuas @ 6.500,Material,,"6,500","6,453,441"
,,Bi pembelian material tgl  26/06/2026- 1pcs baygon spry@ 45.900,Material,,"45,900","6,407,541"
,,diskon pembelian,diskon,12400,,"6,419,941"
,,Bi pembelian material tgl  27/06/2026- 1pcs DC dinalink kabel 1 mm@ 750.000,Material,,"750,000",
,,Bi pembelian material tgl  27/06/2026- 1pcs hit lily @ 37.900,Material,,"37,900",
,,diskon pembelian,diskon,1000,,
,,Bi konsumsi lembur comboran tgl 26/06/2026,konsumsi,,54000,"5,579,041"
,,Bi konsumsi survei olt ke surabaya tgl 26/06/2026,konsumsi,,99000,
,,Bi sangu pembangunan ODP team tyo gadang tgl 26/06/2026,sangu,,50000,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 02/05/2026,Listrik Kantor,,204500,"5,225,541"
,,Bi untuk pembayaran tagihan FIF no. 851000265523 angsr ke-31 tgl 27/06/2026,Cicilan Motor,,799000,"4,426,541"
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,"28,962,661","24,536,120","4,426,541"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
02- juni,,cod pak budi,,,"48,000",
,,rokok om joni,,,"100,000",
,,bensin mobil,,,"100,000",
03-JUNI,,COD NOVEL,,,"35,000",
,,ROKOKPAK BUDI TGL2,,,"26,000",
,,ROKOK PAK BUDI,,,"47,000",
05-juni,,rokok pak budi (nota),,,"47,000",
6-Jun-26,,bensin eceran evalia,,,"15,000",
08-juni,,bu april bayar sekolah,,,10000,
09-juni,,cod pak budi,,,"44,000",
10-juni,,rokok pak budi,,,"46,000",
,,cod pak budi,,,"  87,500.00 ",
,,cod nnovel,,,"  37,000.00 ",
,,pak budi beli lupis,,,"20,000",
11-juni,,bensin intan teknisi,,,"150,000",
,,ROKOK PAK BUDI DAN OM JONI,,,"50,000",
,,BENSIN EVALIA,,,"50,000",
,,ONGKIR PAKET NOVEL,,,"14,000",
12-juni,,COD PAK BUDI OBAT,,,"93,000",
,,rokok pak budi,,,"47,000",
13-juni,,COD PAK BUDI OBAT,,,"96,000",
15-JUNI,,ROKOK PAK BUDI,,,"47,000",
17-juni,,bensin mobil,pel 17,"  100,000.00 ","  100,000.00 ",
19-JUNI,,bu aril,,,"550,000",
,,cod pak budi,,,"282,000",
20-JUNI,,pak budi,,,"100,000",
23-juni,,bu april beli es,,,"5,000",
,,beli alteko,,,"10,000",
,,endog mbk riski,,,"25,000",
,,pak budi,,,"200,000",
,,bensin evalia,,,"100,000",
24-juni,,bensin pak bara,,,"20,000",
26-juni,,cod pak budi tempat hardisk,pel 25,"  79,000.00 ","  79,000.00 ",
,,cod ats,pel 26,"  389,000.00 ","  389,000.00 ",
,,bensin a,pel 25,"  20,000.00 ","  20,000.00 ",
,,pak budi,pel 26,"  100,000.00 ","  100,000.00 ",
27-juni,,mbg,pel 26,"  100,000.00 ","  100,000.00 ",
,,kleam tyo,pel 26,"  10,000.00 ","  10,000.00 ",
,,keam dafa,pel 26,"  10,000.00 ","  10,000.00 ",
,,uang hawwin susuk pelanggan 10rb + 17rb,,,,
,,uang bu april kembalian pelanggan 34k,,,,
,,pinjam bu april ,,,"875,000",
,,cod nia,,,"53,000",
,,FEE DAFA SALES+ PSB,,,"75,000",
29-JUNI,,OP. KLAMPOK BU APRIL,PEL.29,"  50,000.00 ",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,"4,426,541",
,,,,,"  4,312,500.00 ",
,,,,,"  114,041.00 ",
,,,,,,
,,kasbone karyawan,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,du dida,,,,
,,,,,,
,05/06,bensin evalia sby,200000,,,
,,etol,150000,,,
,,minuman snack,57000,,,
,,makan siang,113000,,,
,,parkir,18000,,,
,,pengembalian dana,,500000,,
,15/06,listrik ,51900,,,
,,bensin evalia ,50000,,,
,,cod nia,,356500,,
,,bensin ,100000,,,
,,bu didamasuk,97500,,,
,,PELUNASAN diberikan ke b dida,,83400,,
,,dana masuk,2500,,,
,,beli minyak -minyak,54000,,,
,,op.pak budi batu,200000,,,
,,etol,20000,,,
,,bensin evalia,100000,,,
,,cod nia,,53000,,
,,,1213900,992900,,
,,,,221000,,
